name,type,value,date
C0n-C0ian+sp,,928,2019-01-02
C0i-C0j+C0iou,,828,2019-01-02
C0er-C0l+C0ing,,746,2019-01-02
C0l-C0ing+C0i,,443,2019-01-02
C0iou-C0n+C0ian,,437,2019-01-02
C0l-C0ing+C0l,,410,2019-01-02
C0i-C0n+C0ian,,401,2019-01-02
sil-C0i+C0j,,390,2019-01-02
C0ing-C0l+C0ing,,361,2019-01-02
sil-C0er+C0l,,338,2019-01-02
C0n-C0ian+sp,,924,2019-01-03
C0i-C0j+C0iou,,822,2019-01-03
C0er-C0l+C0ing,,733,2019-01-03
C0iou-C0n+C0ian,,435,2019-01-03
C0l-C0ing+C0i,,435,2019-01-03
C0l-C0ing+C0l,,404,2019-01-03
C0i-C0n+C0ian,,399,2019-01-03
sil-C0i+C0j,,390,2019-01-03
C0ing-C0l+C0ing,,356,2019-01-03
sil-C0er+C0l,,338,2019-01-03
C0n-C0ian+sp,,921,2019-01-04
C0i-C0j+C0iou,,810,2019-01-04
C0er-C0l+C0ing,,718,2019-01-04
C0iou-C0n+C0ian,,428,2019-01-04
C0l-C0ing+C0i,,428,2019-01-04
C0l-C0ing+C0l,,392,2019-01-04
C0i-C0n+C0ian,,390,2019-01-04
sil-C0i+C0j,,387,2019-01-04
C0ing-C0l+C0ing,,347,2019-01-04
sil-C0er+C0l,,338,2019-01-04
C0n-C0ian+sp,,907,2019-01-05
C0i-C0j+C0iou,,788,2019-01-05
C0er-C0l+C0ing,,701,2019-01-05
C0iou-C0n+C0ian,,423,2019-01-05
C0l-C0ing+C0i,,419,2019-01-05
C0i-C0n+C0ian,,385,2019-01-05
sil-C0i+C0j,,384,2019-01-05
C0l-C0ing+C0l,,381,2019-01-05
C0ing-C0l+C0ing,,337,2019-01-05
sil-C0er+C0l,,336,2019-01-05
C0n-C0ian+sp,,905,2019-01-06
C0i-C0j+C0iou,,779,2019-01-06
C0er-C0l+C0ing,,690,2019-01-06
C0iou-C0n+C0ian,,420,2019-01-06
C0l-C0ing+C0i,,414,2019-01-06
sil-C0i+C0j,,382,2019-01-06
C0i-C0n+C0ian,,378,2019-01-06
C0l-C0ing+C0l,,371,2019-01-06
sil-C0er+C0l,,335,2019-01-06
C0ing-C0l+C0ing,,328,2019-01-06
